code,printed_no,type,ns_angle,fs_angle,max_land,land_dec,status,replacement
SB622,SB622,SHELL BEVEL,30,22.5,.06 MAX,.06,,
SB623,SB623,SHELL BEVEL,30,22.5,.06 MAX,.06,,
SB624,SB624,SHELL BEVEL,22.5,22.5,1/16in MAX,.06,,
SB625,SB625,SHELL BEVEL,22.5,12.5,1/16in MAX,.06,,
SB626,SB626,SHELL BEVEL,27.5,37.5,1/16in MAX,.06,,
SB627,SB627,SHELL BEVEL,22.5,12.5,1/16in MAX,.06,,
SB628,SB628,SHELL BEVEL,22.5,22.5,1/16in MAX,.06,,
SB629,SB629,SHELL BEVEL,22.5,22.5,1/16in MAX,.06,,
SB630,SB630,SHELL BEVEL,30,30,.06 MAX,.06,,
SB631,SB631,SHELL BEVEL,20.0,20.0,0 1/16in MAX LAND,.06,,
SB632,SB632,SHELL BEVEL,30,30,0 1/16in MAX LAND,.06,,
SB633,SB633,SHELL BEVEL,25,25,0 1/16in MAX LAND,.06,,
SB634,SB634,SHELL BEVEL,22.5,22.5,0 1/16in MAX LAND,.06,,
SB635,SB635,SHELL BEVEL,22.5,,.06 MAX LAND,.06,,
SB636,SB636,SHELL BEVEL,22.5,22.5,.06 MAX LAND,.06,,
SB637,SB637,SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB638,SB638,SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB639,SB639,SHELL BEVEL,30,30,,,,
SB640,SB640,SHELL BEVEL,22.5,22.5,.06 MAX LAND,.06,,
SB641,SB641,SHELL BEVEL,22.5,22.5,.06 MAX,.06,,
SB642,SB642,SHELL BEVEL,22.5,22.5,.06 MAX,.06,,
SB643,SB643,SHELL BEVEL,35,35,,,,
SB644,SB644,SHELL BEVEL,35,35,.06 MAX LAND,.06,,
SB645,SB645,SHELL BEVEL,35,35,.06 MAX LAND,.06,,
SB646,SB646,SHELL BEVEL,30,30,.06 MAX,.06,,
SB647,SB647,SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB648,SB648,SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB649,SB649,SHELL BEVEL,30,30,.06 MAX,.06,,
SB650,SB650,SHELL BEVEL,22.5,22.5,,,,
SB651,SB651,SHELL BEVEL,22.5,22.5,,,,
SB652,SB652,SHELL BEVEL,22.5,22.5,,,,
SB653,SB653,SHELL BEVEL,22.5,22.5,,,,
SB654,SB654,SHELL BEVEL,22.5,22.5,,,,
SB655,SB655,SHELL BEVEL,30,30,.06 MAX,.06,,
SB656,SB656,SHELL BEVEL,30,30,.06 MAX,.06,,
SB657,SB657,SHELL BEVEL,30,30,.06 MAX,.06,,
SB658,SB658,SHELL BEVEL,30,30,,,,
SB659,SB659,SHELL BEVEL,30,30,,,,
SB660,SB660,SHELL BEVEL / BALANCED DOUBLE BEVEL,30,30,.06 MAX LAND,.06,,
SB661,SB661,SHELL BEVEL,30,30,,,,
SB662,SB662,SHELL BEVEL,35,35,1/16in MAX LAND,.06,,
SB663,SB663,SHELL BEVEL,30,30,.06 MAX,.06,,
SB675,SB675,O.R.P. SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB676,SB676,O.R.P. SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB677,SB677,O.R.P. SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB678,SB678,O.R.P. SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB679,SB679,O.R.P. SHELL BEVEL,37.5,22.5,.06 MAX LAND,.06,,
SB680,SB680,SHELL BEVEL,30,30,.06 MAX,.06,,
SB681,SB681,SHELL BEVEL,60 TYP,30 TYP,,,,
SB682,SB682,O.R.P. SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB683,SB683,SHELL,22.5,22.5,1/16in MAX,.06,,
SB684,SB684,SHELL,22.5,22.5,1/16in MAX,.06,,
SB685,SB685,O.R.P. SHELL BEVEL,22.5,22.5,.06 MAX LAND,.06,,
SB686,SB686,CLB / VA SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB687,SB687,CLB / VA SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB688,SB688,O.R.P. SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB689,SB689,O.R.P. SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB690,SB690,O.R.P. SHELL BEVEL,22.5 TYP,22.5 TYP,,,,
SB691,SB691,O.R.P. SHELL BEVEL,22.5 TYP,22.5 TYP,,,,
SB692,SB692,O.R.P. SHELL BEVEL,30 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB693,SB693,O.R.P. SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB694,SB694,O.R.P. SHELL BEVEL,30,30,,,,
SB695,SB695,SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB700,SB700,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB701,SB701,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB702,SB702,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB703,SB703,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB704,SB704,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB705,SB705,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB706,SB706,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB707,SB707,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB708,SB708,SHELL BEVEL,22.5,27,.06 MIN LAND,.06,,
SB709,SB709,CLB / VA SHELL BEVEL,30 TYP,60 TYP,0.06 MAX LAND,0.06,,
SB710,SB710,CLB / VA SHELL BEVEL,30 TYP,60 TYP,0.06 MAX LAND,0.06,,
SB711,SB711,CLB / VA SHELL BEVEL,20 TYP,55 TYP,0.06 MAX LAND,0.06,,
SB712,SB712,CLB / VA SHELL BEVEL,35,35,0.06 MAX LAND,0.06,,
SB713,SB713,CLB / VA SHELL BEVEL,20,20,0.06 MAX LAND,0.06,,
SB714,SB714,CLB / VA SHELL BEVEL,20 TYP,,0.06 MAX LAND,0.06,,
SB715,SB715,SHELL BEVEL,25.0,22.5,0 1/16in MAX LAND,.06,,
SB716,SB716,SHELL BEVEL,50 / 25,45 / 22.5,0 1/16in MAX LAND,.06,,
SB717,SB717,CLB / VA SHELL BEVEL,30 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB718,SB718,CLB / VA SHELL BEVEL,60 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB719,SB719,CLB / VA SHELL BEVEL,25,22.5,0.06 MAX LAND,0.06,,
SB720,SB720,SHELL BEVEL,,,,,,
SB721,SB721,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB722,SB722,CLB / VA SHELL BEVEL,30 TYP,20,0.06 MAX LAND,0.06,,
SB723,SB723,CLB / VA SHELL BEVEL,30 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB724,SB724,CLB / VA SHELL BEVEL,30 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB725,SB725,CLB / VA SHELL BEVEL,35,35,0.06 MAX LAND,0.06,,
SB726,SB726,CLB / VA SHELL BEVEL,35,35,0.06 MAX LAND,0.06,,
SB727,SB727,SHELL BEVEL,25,22.5,0 1/16in MAX LAND,.06,,
SB728,SB728,SHELL BEVEL,20 TYP,20 TYP,1/16in MAX LAND,.06,,
SB729,SB729,SHELL BEVEL,20 TYP,20 TYP,1/16in MAX LAND,.06,,
SB730,SB730,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB731,SB731,O.R.P. SHELL BEVEL,30 TYP,30 TYP,.06 MAX LAND,.06,,
SB732,SB732,O.R.P. SHELL BEVEL,30 TYP,30 TYP,,,,
SB733,SB733,O.R.P. SHELL BEVEL,30 TYP,30 TYP,,,,
SB734,SB734,SHELL BEVEL,30 TYP,30 TYP,,,,
SB735,SB735,SHELL BEVEL,30 TYP,30 TYP,,,,
SB736,SB736,SHELL BEVEL,30 TYP,30 TYP,,,,
SB737,SB737,SHELL BEVEL,30 TYP,30 TYP,,,,
SB738,SB738,SHELL BEVEL,30 TYP,30 TYP,,,,
SB739,SB739,SHELL BEVEL,30.0,30.0,0 1/16in MAX LAND,.06,,
SB741,SB741,SHELL BEVEL,30,30,.06 MAX LAND,.06,,
SB743,SB743,SHELL BEVEL,22.5,22.5,.06 MAX,.06,,
SB744,SB744,SHELL BEVEL,22.5 TYP,22.5 TYP,,,,
SB745,SB745,SHELL BEVEL,22.5 TYP,22.5 TYP,,,,
SB746,SB746,SHELL BEVEL,22.5 TYP,22.5 TYP,,,,
SB747,SB747,CLB / VA SHELL BEVEL,22.5,22.5,0.06 MAX LAND,0.06,,
SB748,SB748,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB749,SB749,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB750,SB750,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB751,SB751,CLB / VA SHELL BEVEL,25,25,0.06 MAX LAND,0.06,,
SB752,SB752,CLB / VA SHELL BEVEL,25,25,0.06 MAX LAND,0.06,,
SB753,SB753,CLB / VA SUB ARC BEVEL,25,25,0.06 MAX LAND,0.06,,
SB754,SB754,CLB / VA SUB ARC BEVEL,25,25,0.06 MAX LAND,0.06,,
SB755,SB755,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB756,SB756,SHELL BEVEL / BALANCED DOUBLE BEVEL,25,25,.06 MAX LAND,.06,,
SB757,SB757,CLB / VA SHELL BEVEL,25,25,0.06 MAX LAND,0.06,,
SB758,SB758,SHELL BEVEL,25 TYP,25 TYP,.06 MAX LAND,.06,,
SB759,SB759,SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB760,SB760,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB761,SB761,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB762,SB762,SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB763,SB763,SHELL BEVEL,22.5 TYP,22.5 TYP,0-.06 LAND,.06,,
SB764,SB764,SHELL BEVEL,22.5 TYP,22.5 TYP,0-.06 LAND,.06,,
SB765,SB765,SHELL BEVEL,22.5 TYP,22.5 TYP,0-.06 LAND,.06,,
SB766,SB766,SHELL BEVEL,22.5,22.5,0-.06 LAND,.06,,
SB767,SB767,SHELL BEVEL,22.5 TYP,22.5 TYP,0-.06 LAND,.06,,
SB768,SB768,SHELL BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB769,SB769,SHELL BEVEL,22.5 TYP,22.5 TYP,0-.06 LAND,.06,,
SB770,SB770,SHELL BEVEL,22.5 TYP,22.5 TYP,0-.06 LAND,.06,,
SB771,SB771,SHELL BEVEL,22.5,22.5,0-.06 LAND,.06,,
SB772,SB772,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB773,SB773,CLB / VA SHELL BEVEL,25 TYP,25 TYP,0.06 MAX LAND,0.06,,
SB774,SB774,CLB / VA SHELL BEVEL,25 TYP,25 TYP,0.06 MAX LAND,0.06,,
SB775,SB775,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB776,SB776,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB777,SB777,CLB / VA SHELL BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
SB778,SB778,CLB / VA SHELL BEVEL,30 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB779,SB779,SHELL BEVEL,30,30,.06 MAX,.06,,
SB780,SB780,CLB / VA SHELL BEVEL,30 TYP,30 TYP,0.06 MAX LAND,0.06,,
SB781,SB781,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB782,SB782,CLB / VA SHELL BEVEL,25,22.5,0.06 MAX LAND,0.06,,
SB783,SB783,CLB / VA SHELL BEVEL,25,22.5,0.06 MAX LAND,0.06,,
SB784,SB784,CLB / VA SHELL BEVEL,25,22.5,0.06 MAX LAND,0.06,,
SB785,SB785,CLB / VA SHELL BEVEL,25,22.5,0.06 MAX LAND,0.06,,
SB786,SB786,CLB / VA SHELL BEVEL,30,30,0.06 MAX LAND,0.06,,
SB787,SB787,CLB / VA SHELL BEVEL,30,30,.06 MAX,.06,,
SB788,SB788,CLB / VA SHELL BEVEL,30 TYP,30 TYP,,,,
SB789,SB789,CLB / VA BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
SB790,SB790,CLB / VA SHELL BEVEL,22.5,22.5,0 1/16in MAX LAND,.06,,
